"ANO","NIVEL","CODMUNRES","TO","TORC","TORCR","TO_NN","TO_N","TO_CB_I","TO_CB_N","TO_CB_C","TO_CB_R","TO_CB_O","TO_M","TO_F","TO_F_IF","TO_FT","TO_NT","TO_NT_P","TO_NT_T","TO_PNT","TO_MT_G","TONT_B","TONT_PT","TONT_A","TONT_PD","TONT_I","TO_MT","TO_MT_DG","TO_MT_PT","TO_MT_AB","TO_MT_42","TO_MT_43","TO_MT_P","TO_MT_P_I","TO_MT_P_ES","TO_MT_P_EFI","TO_MT_P_EFII","TO_MT_P_EM","TO_MT_P_ESI","TO_MT_P_ESC"
2015,"MUNICIPIO",220990,31,0,0,6,25,1,7,12,1,4,18,13,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220995,32,0,0,6,26,2,4,16,1,3,19,13,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",220997,32,0,0,5,27,0,2,13,4,8,13,19,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221000,115,0,0,13,102,6,18,43,13,22,65,50,8,0,2,1,1,0,1,0,0,0,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1
2015,"MUNICIPIO",221005,21,0,0,4,17,0,4,3,4,6,12,9,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221010,20,0,0,3,17,0,2,9,1,5,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221020,49,0,0,6,43,1,2,15,7,18,25,24,2,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0
2015,"MUNICIPIO",221030,54,0,0,5,49,1,7,21,5,15,37,17,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221035,27,0,0,2,25,0,4,10,5,6,11,16,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221037,16,0,0,2,14,0,0,4,3,7,8,8,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221038,15,0,0,0,15,0,1,8,0,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221039,14,0,0,2,12,1,1,8,0,2,7,7,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221040,92,0,0,8,84,2,16,28,6,32,58,34,3,0,9,9,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221050,93,0,0,7,86,0,11,46,11,18,48,45,1,0,5,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221060,185,0,0,27,158,5,23,66,20,44,97,88,13,0,4,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221062,11,0,0,1,10,1,2,0,1,6,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221063,15,0,0,2,13,0,2,8,2,1,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221065,48,0,0,6,42,2,8,18,4,10,30,18,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221070,83,0,0,9,74,1,11,41,3,18,53,30,4,0,3,3,0,0,1,1,0,0,2,0,2,1,0,0,1,0,2,1,0,1,1,0,0,0
2015,"MUNICIPIO",221080,93,0,0,9,84,4,12,39,8,21,57,36,2,0,5,5,0,0,0,2,0,0,3,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0
2015,"MUNICIPIO",221090,30,0,0,4,26,1,2,18,2,3,14,16,2,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0
2015,"MUNICIPIO",221093,38,0,0,3,35,1,7,16,1,10,19,19,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221095,17,0,0,0,17,1,3,6,3,4,9,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221097,14,0,0,1,13,0,1,5,0,7,8,6,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221100,5163,0,0,734,4429,200,925,1466,590,1248,2881,2281,293,0,169,160,9,0,1,18,0,0,121,0,11,1,0,0,8,2,9,9,0,0,3,4,1,0
2015,"MUNICIPIO",221110,266,0,0,32,234,6,21,72,36,99,146,120,13,0,18,18,0,0,1,2,0,0,13,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0
2015,"MUNICIPIO",221120,115,0,0,11,104,3,12,46,9,34,64,51,8,0,3,3,0,0,0,0,0,0,2,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",221130,177,0,0,19,158,5,18,79,15,41,108,69,7,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0
2015,"MUNICIPIO",221135,24,0,0,3,21,0,4,9,2,6,15,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221140,33,0,0,3,30,0,3,11,1,15,20,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221150,25,0,0,2,23,3,1,8,2,9,11,14,1,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221160,29,0,0,5,24,0,3,11,1,9,14,15,2,0,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,"MUNICIPIO",221170,17,0,0,1,16,2,3,6,1,4,12,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
