"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"MUNICIPIO",2209500,"3720",3648,1851,1797,902,1899,847,423,922,452
2015,"MUNICIPIO",2209559,"4371",4313,2240,2073,1107,2309,897,541,1091,441
2015,"MUNICIPIO",2209609,"2920",3069,1500,1569,685,1473,911,340,760,469
2015,"MUNICIPIO",2209658,"5786",5567,2832,2735,1693,2902,972,824,1413,498
2015,"MUNICIPIO",2209708,"6329",6298,3190,3108,1803,3042,1453,892,1452,764
2015,"MUNICIPIO",2209757,"2960",2825,1464,1361,903,1403,519,455,640,266
2015,"MUNICIPIO",2209807,"4903",4754,2353,2401,1374,2451,929,675,1248,478
2015,"MUNICIPIO",2209856,"4523",4445,2188,2257,1192,2155,1098,572,1117,568
2015,"MUNICIPIO",2209872,"5898",5608,2805,2803,1820,2775,1013,905,1387,511
2015,"MUNICIPIO",2209906,"6081",6157,3012,3145,1604,2926,1627,814,1505,826
2015,"MUNICIPIO",2209955,"4747",4651,2284,2367,1333,2398,920,658,1216,493
2015,"MUNICIPIO",2209971,"7755",7336,3695,3641,2304,3664,1368,1101,1831,709
2015,"MUNICIPIO",2210003,"20146",19548,9584,9964,5527,10472,3549,2719,5365,1880
2015,"MUNICIPIO",2210052,"5246",5148,2653,2495,1338,2879,931,660,1388,447
2015,"MUNICIPIO",2210102,"3697",3700,1885,1815,1124,1767,809,531,871,413
2015,"MUNICIPIO",2210201,"6610",6591,3281,3310,1719,3403,1469,844,1705,761
2015,"MUNICIPIO",2210300,"6244",5675,2829,2846,1428,2957,1290,694,1488,664
2015,"MUNICIPIO",2210359,"4493",4427,2266,2161,1035,2315,1077,470,1135,556
2015,"MUNICIPIO",2210375,"2595",2561,1262,1299,708,1290,563,357,655,287
2015,"MUNICIPIO",2210383,"2409",2110,1050,1060,523,1049,538,238,541,281
2015,"MUNICIPIO",2210391,"2993",2976,1546,1430,966,1441,569,470,672,288
2015,"MUNICIPIO",2210409,"18105",18134,9219,8915,5102,9247,3785,2434,4559,1922
2015,"MUNICIPIO",2210508,"13994",13639,6822,6817,4007,6855,2777,1895,3433,1489
2015,"MUNICIPIO",2210607,"33802",32327,15897,16430,8699,18016,5612,4282,9225,2923
2015,"MUNICIPIO",2210623,"3455",3560,1889,1671,1155,1796,609,545,834,292
2015,"MUNICIPIO",2210631,"4209",4116,2151,1965,1154,2175,787,565,1023,377
2015,"MUNICIPIO",2210656,"9854",9619,4972,4647,2526,4926,2167,1162,2418,1067
2015,"MUNICIPIO",2210706,"14411",14180,7078,7102,4478,7273,2429,2167,3675,1260
2015,"MUNICIPIO",2210805,"12424",12077,6090,5987,3172,6385,2520,1511,3167,1309
