ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2015,MUNICIPIO,2206605,NA,0.578,NA,NA
2015,MUNICIPIO,2206654,NA,0.542,NA,NA
2015,MUNICIPIO,2206670,NA,0.55,NA,NA
2015,MUNICIPIO,2206696,NA,0.53,NA,NA
2015,MUNICIPIO,2206704,NA,0.576,NA,NA
2015,MUNICIPIO,2206720,NA,0.602,NA,NA
2015,MUNICIPIO,2206753,NA,0.586,NA,NA
2015,MUNICIPIO,2206803,NA,0.533,NA,NA
2015,MUNICIPIO,2207959,NA,0.554,NA,NA
2015,MUNICIPIO,2206902,NA,0.562,NA,NA
2015,MUNICIPIO,2206951,NA,0.528,NA,NA
2015,MUNICIPIO,2207009,NA,0.634,NA,NA
2015,MUNICIPIO,2207108,NA,0.576,NA,NA
2015,MUNICIPIO,2207207,NA,0.541,NA,NA
2015,MUNICIPIO,2207306,NA,0.575,NA,NA
2015,MUNICIPIO,2207355,NA,0.559,NA,NA
2015,MUNICIPIO,2207405,NA,0.557,NA,NA
2015,MUNICIPIO,2207504,NA,0.562,NA,NA
2015,MUNICIPIO,2207553,NA,0.509,NA,NA
2015,MUNICIPIO,2207603,NA,0.575,NA,NA
2015,MUNICIPIO,2207702,NA,0.687,NA,NA
2015,MUNICIPIO,2207751,NA,0.561,NA,NA
2015,MUNICIPIO,2207777,NA,0.563,NA,NA
2015,MUNICIPIO,2207793,NA,0.514,NA,NA
2015,MUNICIPIO,2207801,NA,0.6,NA,NA
2015,MUNICIPIO,2207850,NA,0.526,NA,NA
2015,MUNICIPIO,2207900,NA,0.571,NA,NA
2015,MUNICIPIO,2207934,NA,0.562,NA,NA
2015,MUNICIPIO,2208007,NA,0.698,NA,NA
2015,MUNICIPIO,2208106,NA,0.566,NA,NA
2015,MUNICIPIO,2208205,NA,0.564,NA,NA
2015,MUNICIPIO,2208304,NA,0.596,NA,NA
2015,MUNICIPIO,2208403,NA,0.635,NA,NA
2015,MUNICIPIO,2208502,NA,0.549,NA,NA
2015,MUNICIPIO,2208551,NA,0.563,NA,NA
2015,MUNICIPIO,2208601,NA,0.565,NA,NA
2015,MUNICIPIO,2208650,NA,0.515,NA,NA
2015,MUNICIPIO,2208700,NA,0.589,NA,NA
2015,MUNICIPIO,2208809,NA,0.591,NA,NA
2015,MUNICIPIO,2208858,NA,0.541,NA,NA
